Comentario | --tiempo promedio de revisiones en el utlimo trimestre | 0 | 3
Simbolo | . | 10 | 14
Identificador | comprador | 11 | 14
Comentario | --Cantidad de operaciones por vehiculo, que hayan utilizado por lo menos 2 materiales | 0 | 16
Identificador | select | 0 | 18
Identificador | count | 7 | 18
Operador | ( | 12 | 18
Entero | 1 | 13 | 18
Operador | ) | 14 | 18
Identificador | as | 16 | 18
Identificador | cantidad | 19 | 18
Identificador | _operaciones | 27 | 18
Identificador | from | 0 | 19
Identificador | REVISION | 5 | 19
Identificador | a | 14 | 19
Identificador | inner | 16 | 19
Identificador | join | 22 | 19
Identificador | DETALLE | 27 | 19
Identificador | _REVISION | 34 | 19
Identificador | b | 44 | 19
Identificador | on | 46 | 19
Identificador | a | 49 | 19
Simbolo | . | 50 | 19
Identificador | id | 51 | 19
Identificador | _revision | 53 | 19
Operador | = | 63 | 19
Identificador | b | 65 | 19
Simbolo | . | 66 | 19
Identificador | id | 67 | 19
Identificador | _revision | 69 | 19
Identificador | inner | 4 | 20
Identificador | join | 10 | 20
Identificador | OPERACION | 15 | 20
Identificador | c | 25 | 20
Identificador | on | 27 | 20
Identificador | c | 30 | 20
Simbolo | . | 31 | 20
Identificador | id | 32 | 20
Identificador | _operacion | 34 | 20
Operador | = | 45 | 20
Identificador | b | 47 | 20
Simbolo | . | 48 | 20
Identificador | id | 49 | 20
Identificador | _operacion | 51 | 20
Identificador | inner | 4 | 21
Identificador | join | 10 | 21
Identificador | DETALLE | 15 | 21
Identificador | _OPERACION | 22 | 21
Identificador | d | 33 | 21
Identificador | on | 35 | 21
Identificador | d | 38 | 21
Simbolo | . | 39 | 21
Identificador | id | 40 | 21
Identificador | _operacion | 42 | 21
Operador | = | 53 | 21
Identificador | c | 55 | 21
Simbolo | . | 56 | 21
Identificador | id | 57 | 21
Identificador | _operacion | 59 | 21
Identificador | where | 0 | 22
Identificador | d | 6 | 22
Simbolo | . | 7 | 22
Identificador | id | 8 | 22
Identificador | _operacion | 10 | 22
Identificador | in | 21 | 22
Operador | ( | 24 | 22
Identificador | select | 25 | 22
Identificador | ed | 32 | 22
Simbolo | . | 34 | 22
Identificador | id | 35 | 22
Identificador | _operacion | 37 | 22
Identificador | from | 48 | 22
Identificador | DETALLE | 53 | 22
Identificador | _OPERACION | 60 | 22
Identificador | ed | 71 | 22
Identificador | group | 74 | 22
Identificador | by | 80 | 22
Identificador | ed | 83 | 22
Simbolo | . | 85 | 22
Identificador | id | 86 | 22
Identificador | _operacion | 88 | 22
Identificador | having | 99 | 22
Identificador | count | 106 | 22
Operador | ( | 111 | 22
Identificador | ed | 112 | 22
Simbolo | . | 114 | 22
Identificador | id | 115 | 22
Identificador | _material | 117 | 22
Operador | ) | 126 | 22
Operador | > | 128 | 22
Entero | 1 | 130 | 22
Operador | ) | 131 | 22
